Monique ist ein sehr liebes Mädchen.;Monique est une jeune fille très gentille.
Es ist sehr nett von Ihnen, dass Sie mich eingeladen haben.;C'est très gentil de votre part de m'avoir invitée.
Das ist eine wirklich gute Person die hilft, wo sie nur kann.;C'est une person vraiment bonne qui aide o�ù elle peut.
Wären Sie so freundllich und würden diese Tür offen lassen?;Seriez-vous assez aimable pour laisser cette porte ouverte?
Kinder, seid schön artig, ich bin in fünf Minuten wieder da.;Les enfants, soyez bien sages, je reviens dans cinq minutes.
Man kann Charme haben, ohne schön zu sein.;On peut avoir du charme et ne pas être beau.
Man vergibt ihr all ihre Lügen, denn sie ist ja so charmant.;On lui pardonne tout ses mensognes, car elle est si charmante.
Glücklicherweise hat die Vernunft ihn daran gehindert zu fahren, denn er hatt zu viel Alkohl getrunken.;Heureusement que le raison l'a empêché de conduire, car il avait bu trop d'alcool.
Also, sei vernünftig und mach keine Dummheiten.;Allons, sois raisonnable et ne fais pas de bêtises.
Philippe ist ein sehr ernster junger Mann.;Phillipe est un june homme très sérieux.
Ich habe sie sofort sympathisch gefunden.;Je l'ai tout de suite trouvée sympathique.
Er bleibt ruhig, auch wenn es schlecht löäuft.;Il reste calme même quand les choses vont mal.
Ich hoffe, dass die Kinder still sind, damit ich ein wenig arbeiten kann.;J'espère que les enfants seront tranquilles, pour que je puisse travailler un peu.
Die Szene wird so komisch, dass alle Zuschauer lauthals gelacht haben.;La scène était tellement comique que tous le spectateurs ont éclaté de rire.
Nur Mut, wir sind schon fast am Ziel.;|Allez, du courage; on presque arrivés.|
Wenn ich mutiger wäre, würde ich ihr sagen, was ich denke.;Si j'étais plus courageux, je lui dirais ce que je pense.
Er ist sich über seine Dummheit gar nicht im Klaren.;Il ne se rend pas compte de sa bêtise.
Das ist doch zu dumm�! Ich habe schon wieder meien Schlüssel im Bureau vergessen.;C'est trop bête! J'ai encore oublié mes clés au bureau.
Er ist wirklich böse zu mir gewesen.;Il a été vraiment méchant avec moi.
Er ist zu feige, um mir die Wahrheit ins Gesicht zu sagen.;Il est trop lâche pour me dire la vérité en face.
Diese Schauspielerin hat eine etwas schierige Persoönlichkeit.;Cette actrice a une personnalité un peu compliquée.
Meine Brüder haben ganz unterschiedliche Charaktere.;Mes frères ont des caractrères très différents.
Sie ist sehr ehrgeizig und will es im Leben zu etwas bringen.;Elle est très ambitieuse et veut réussier dans la vie.
Mein Sohn ist sehr Fleissig und hat gute Schulnoten.;Mon fils est très appliqué et a de bons r�ésultats en classe.
Im Urlaub werde ich ganz faul. Da stehe ich manchmal erst mittags auf.;En vacances, je devies parasseux. Je me lève parfois à midi.
Ich bin höflich zu den Nachbaren, aber mehr auch nicht.;Je suis polie avec les voisins, mais ca s'arrêtee la.
Diese Leute sind wirklich uunhöflich, sie grüssen nie.;Ces gens son vraiment impolis, ils ne disent jamais bonjour.
Der neue Kollege ist mir unsympathisch: Er ist zu eingebildet.;Le noveau collègue m'est antipathique: Il est trop arrogant.
Dein Sohn hat aber grobe Manieren.;Il a des manières rude, ton fils.
Ich versichere Ihnen, dass trotz seiner Vergangenheit Ehrlichkeit seine grüsste Stärke ist.;Je vous assure que malgré son passé l'honnêteté est sa plus grande qualit�Lé.
Man kann ihm vertrauen, er ist ehrlich.;On peut lui faire confiance, c'est quelqu'un d'honnête.
Woher soll ich wissen, ob er aurichtig ist?;Comment savoir s'ill est sincère?
Mit ein wenig Geduld schafft man es.;Avec un peu de patience, on y arrive.
Wenn man Tiere fotografieren will, muss man geduldig sein.;Quand on veut photographier des animaux, il faut être patent.
Sei doch nicht so ungeduldig�! Warte eine Minute!;Ne sois donc pas is impatient! Attends une mintue!
Die Regierung war nicht sehr grosszügig: 0.5 prozent Lohnerhöhung.;Le gouvernement n'a pas été très généreux: 0.5 pour cent d'augmentation des salaires!
Ich bin nicht geizig, aber ich muss sparen.;Je ne suis pas avare, mais je dois fiare des économies.
Ich frage mich, was sie so fröhlich macht.;Je me demande ce qui la rend aussi joyeuse.
Mit ihrem fröhlichen Wesen bereichert sie unsere Treffen.;Avec son caractère gai, elle anime nos réunions.
Sie ist wirlich lustig mit ihrer roten Kappe.;Elle est vraiment drôle, avec sa casquette rouge.
Du hast wirklich keinen SIinn für Humor.;Tu n'as vraiment pas le sens de l'humeur.
Er ist immer guter Laune.;Il est toujours de bonne humeur.
Diese neue Mode weckt die Neugier aller M�änner.;Cette nouvelle mode éveille la curiosité de tous les hommes.
Deine Nachbarin ist aber neugierig: Ständig ist sie am Fenser.;Ce que ta voisine peut �être curieuse: toujours à la fenêtre.
Seid vorsichtig, wenn ihr über die Strasse geht.;Soyez prudents en traversant la rue.
Ich sage es dir noch einmal: Sei nicht unvorsichtig und lehn dich nicht aus dem Fenser.;Je te le redis: ne sois pas imprudent et ne te penche pas par la fenêtre.
Das ist die Liebe seines Lebens und er spricht mit Leindschaft darüber.;C'est l'amour de sa vie et il en parle avec passion.
Claire ist eine engagierte und leidenschaftliche junge Frau.;Claire est une jeune femme engage�ée et passionnée.
Dieses unartige Kind laden wir nie mehr zu uns ein.;Nous n'inviterons plus chez nous cet enfant mal éléve.
Sei doch nicht so empfindlich!;Ne sois pas si sensible!
Wenn ich fliegen muss, bin ich immer nervös.;Quand je dois prendre l'avion, je suis toujours nerveux.
Sei nicht so schüchtern!;Ne sois pas si timide!
Mein Bruder bleibt trotz seines Vermögens bescheiden.;Mon frère reste modeste malgré sa fortune.
Sie ist schlau: sie weiss ganz genau, dass erschlieslich Ja sagen wird.;Elle est maligne: elle sait bien qu'il finira dire oui.
Ich bind doch nicht verrückt! Ich habe bein Weggehen ganz bestimmt das Licht ausgemacht.;|Je ne suis tout de même pas folle; je suis vertaine d'avoir éteit la lumière en partant.|
Auch ich habe meinen Stolz. Ich werde mich nicht entschuldigen.;Moi aussi j'ai ma fierté: je ne m'excuserai pas.
Die Franzosen sind sehr stolz auf ihre Weine.;Les Francais sont très fiers de leurs vins.
|Sein Gesicht kommt mir bekannt vor; ich muss ihn schon einmal irgendwo gesehen haben.|;|Son visage me dit quelque chose; j'ai déjà dû le rencontrer quelque part.|
Er ist mit ganz braun gebrannten Gesicht von Skifahren zurückgekommen.;Il est revenu de ski avec la figure toute bronzée.
Zurzeit haben die Jungen eher kurze Haare.;En ce moment, les garcons out plutôt les cheveux courts.
Sie gleicht mehr ihrem Vater als ihrer Mutter.;Elle ressemble plus à son père qu'à sa mère.
Sie sind sich überhaubt nicht ähnlich.;Ils ne se ressemblent pas du tout.
Ich finde diene Schwester mit kurzen Haaren hübscher.;Je trouve ta soeur plus jolie avec les cheveux courts.
Sie ist zwar keine Schönheit, aber sie ist ein berühmter Star.;Ce n'est pas une beauté, mais c'est une star célèbre.
Man kann nichtsagen, dass Laurent sch�ön ist, aber er ist immerhin charmant.;On ne peut pas diere que Laurent soit beau, me il et charmant quand même.
Diese grosse Frau ist wirklich sehr attraktiv.;Cette grande femme est vraiment très attirante.
Ludwig XI war angeblich sehr hässlich.;Louix XI était, paraît-il, très laid.
Ihr findet ihn hässlich? Also, mir gefällt er.;Vous le trouvez moche? Eh bien moi, il me plaît.
Auf diesem Foto hat sie wirlich eine gute Figur.;Elle est vraiment bien faite sur cette photo.
De Gaulle war so gross, dass er überall ein Spezialbett brauchte.;De Gaulle était si grand qu'il lui fallait partout un lit spécial.
Edith Piaf war ganz klein.;Edith Piaf était toute petite.
Er isst nicht viel und trotzdem ist er dick.;Il ne mange pas beacucoup et pourtant il est gros.
Du bist zu dünn, weil du nicht genug isst.;Tu es trop maigre, car tu ne manges pas assez.
Topmodels sind nicht schlank, sie sind echt mager.;Les top-models ne sont pas minces, elles sont carrément maigres.
Als er erfuhr, welcher Gefahr er entronnen war, wurde er ganz blass.;Quand il a su à quel danger il avait échappé, il est devenu tout pâle.
Ich finde, dass dir deine neue Frisur sehr gut steht.;Je trouve que ta nouvelle coiffure te va très bien.
Mit meinen langen Haaren brauche ich Stunden, um mich zu frisieren.;Avec ces cheveux longs, quand je me coiffe, j'en ai pour des heures.
Sie ist ein Mädchen mit blauen Augen und blonden Haaren.;C'est une fille aux yeux bleus et cheveux blonds.
Meine Frau ist dunkelhaarig, aber alle unsere Kinder sind blond.;Ma femme est brune, mais tous nos enfants sont blonds.
Am Ende des Sommers habe ich eine ganz braune Haut.;à la fin de l'été, j'ai la peau tout brune.
Der alte grauhaarige Mann da, ist das dein Grossvater?;Ce vieil homme aux cheveux gris, c'est ton grand-père?
Das ist das perfekte Make-up für schwarzhaarige Frauen.;C'est le maquillage parfait pour les femmes aux cheveux noir.
Nein, nicht alle Engländer sind rothaarig.;Non, tous les Anglais ne sont pas roux.
Deine Krawatte ist zu hell für ein weisses Hemd.;Ta cravate est trop claire pour aller avec une chemise blanche.
Bei einer Beerdigung trägt man eher dunkle Kleidung.;Lors d'un enterrement, on porte p�lutôt des vêtements foncés.
Er sieht heute traurig aus.;Il a l'air triste aujourd'hui.
Meine Tochter hatte einen erfreuten Gesichtsausdruck, als sie ihre Prüfungsergebnisse erfuhr.;Ma fille avait �la mine réjouie quand elle a appris les résultats de ses examens.
Wenn man jung ist, sieht man auch ohne Make-up gut aus.;Quand on est jeune on a bonne mine même sans maquillage.
Mein Vater geht jeden Tag spazieren und trotzdem sieht er schlecht aus.;Mon père se promène tous le jours et pourtant il a mauvaise mine.
Die Tochter der Nachbarn ist wirklich hübsch.;La fille des voisins est vraiment mignonne.
|Ich habe zugenommen; ich passe nicht mehr in meine Jeans.|;|J'ai grossi; je ne rentre plus dans mes jeans.|
Ich muss vor dem Sommer umbedingt abnehmen.;Il faut absolument que je maigrisse avant l'été-
Er versteckt seine Glatze immer unter einem Hut.;Il cache sa tête chauve toujours sous un chapeau.
Ist das angenehm, dise immer so gepflegte alte Dame zu besuchen.;Que c'est agréable d'aller voir cette vieille dame toujours si soignée.
Seit sie allein lebt, ist sie immer ungepflegt.;Depuis qu'elle vit seule elle est toujours mal soignée.
Was für eine komische Idee, dir einen Bart wachsen zu lassen.;Quelle drôle d'idée de te fiare pousser la barbe.
Sie hat eine wirklich blasse Gesichtsfarbe.;Elle a un teint vraiment pâle.
|Ich nehme warme Kleidung mit; es könnte schneien.|;|J'emporte des vêtements chauds; il pourrait neiger.|
Es ist teuer, wenn man immer mit der Mode gehen will.;Ca coûte cher de vouloir être toujours à la mode.
Ein Mann muss nicht unbedingt eine Krawatte tragen, um elegant zu sein.;Un homme peut �être élégant sans forcément porter une cravate.
Ich ziehe mich an, dann bin ich fertig.;Je m'habille et je suis prête.
Ich habe nichts anzuziehen.;Je n'ai rien �à me mettre.
Mir ist zu warm, ich ziehe meine Jacke aus.;|J'ai trop chaud; j'enlève ma veste.|
Ich war so müde, dass ich ins Bett gegangen bin, ohne mich auszuziehen.;J'étais tellement fatiguée que je me suis couchée sans me déshabiller.
Sie hat einen sehr langen Rock an.;Elle porte une jupe très longue.
Du musst das Kleid anprobieren, um zu sehen, ob es dir steht.;Il faut que tu essaies la robe pour te rendre compte si elle te va.
Ich ziehe mich schnell um, damit ich mich nicht erkälte.;Je vais me changer en vitesse pour ne pas prendre froid.
Der Bart steht ihm sehr gut.;La barbe lui va très bien.
Dieser Rock passt mir perfekt.;Cette jupe me va parfaitement bien.
Deine Hose und deine Bluse passen gut zusammen.;Ton pantalon et ton chemisier vont bien ensemble.
Soll ich meinen Mantel oder meine Jack anziehen?;Est-ce que je mets mon manteau ou ma veste?
Es ist zu kalt, um nur mit Jacke hinauszugehen.;Il fait un peu trop froid pour sortir en veste.
Früher durften M�ädchen nicht mit einer Hose in die Schule gehen.;Autrefois les filles n'avaient pas le droit d'aller à l'école avec un pantalon.
Du willst doch nicht etwa in Jeans auf die Hochzeit gehen.;Tu ne vas tout de même pas aller à ce marriage en jean.
Das T-Schirt des Gymnasiums habe ich entworfen.;C'est moi qui ai desisiné le tee-shirt du lycée.
Meine Pullover verformen sich, wenn ich sie in der Maschine wasche.;Mes pull-overs se déforment au lavage en machine.
Ich ziehe mein blaues Kleid an.;Je vais mettre ma robe blue.
Wie kann sie nur mit einem so engen Rock gehen?;Mais comment fait-elel pour marcher avec une jupe aussi étroite?
Die Spiler der französischen Nationalmannschaft tragen normaleseise weisse Shorts.;Les jouers de l�'équipe de France portent en général des shorts blancs.
Bei uns zu Hause bügelt mein Vater seine Hemden.;à la maison, c'est mon père qui repasse ses chemises.
Ich suche eine passende Bluse zu meinem Rock.;Je cherche un chemisier  pour aller avec ma jupe.
Im Büro muss ich einen Anzug tragen.;Au bureau, je suis obligé d'�être en costume.
Meine Mutter trägt immer Strümpfe aus schwarzer spitze.;Ma mère porte toujours des bas de dentelle noire.
Beim Skifahren trage ich zwei Paar Socken.;Quand je skie, je mets deux paires de chaussettes.
Ich habe Schuhe in Grösse 38 genommen, aber sie sind zu gross.;J'ai pris des chaussures en 38, mais elles sont trop grandes.
Ich trage 48 - eine Schuhgrösse, die schwer zu finden ist.;Je chausse du 58 - c'est une pointure difficile à trouver.
Im Schlussverkauf finde ich nie meine Grösse.;Pendant les soldes, je ne trouve jamais ma taille.
Ziehst du nachts einen Schlafanzug an? Ich schlafe nackt.;Tu mets un pyjama la nuit? Moi, je dors toute nous.
Im Winter trägt meine Grossmuter ein richtig warmes Nachthemd.;En hiver, ma grand-mère porte une chemise de nuit bien chaude.
Ein SLip ist doch sexyer als Boxershorts.;Un slip est tout même plus sexy qu'un calecon.
Wenn ich allein bin, laufe ich in der Unterhose in der Wohnung herum.;Quand je suis seule, je me promène en culotte dans l'appartement.
Ich wechsle meine Unterhose jeden Tag.;Je change de calecon tous les jours.
Ich trage lieber Boxershorts, die sind bequemer als slips.;Je préfère les calecons, c'est p�lus confortable que les slips.
Enteilige Badeanzüge sind wieder in Mode.;Les maillots de bain une pièce sont de nouveau à la mode.
Warum ziehst du nicht die Badehose an, die wir gestern gekauft haben?;Pourquoi ne mets-tu pas le slip de bain que nous avons acheté hier?
Am Strand tragen die meisten Frauen ein Bikini.;à la plage, la plupart des femmes portent un bikini.
Wie kann man nur so enge Jeans tragen?;Comment peut-on mettre des jeans aussi étroits?
Der Mantel ist ihr zu weit.;Le manteau est trop large pour elle.
So kannst du nicht in die Kirche gehen, dein Rock ist viel zu kurz.;Tu ne peux pas aller à l'église comme ca, ta jupe est beaucoup trop courte.
Du bist aber elegant in diesem hübschen langen Kleid.;Que tu es élégante dans cette jolie robe longue.
Was für ein schlchter Geschmack. Dein Sakko passt überhaupt nicht zur Hose.;Quel goût. Ton veston ne va pas du tout avec ton pantalon.
Zieh deine Regenjacke an. Es fängt an zu regenen.;Met ton imperméable. Il commence à pleuvoir.
Meine Mutter hat mir meinen ersten BH geschenkt.;C'est ma mère qui m'a offert mon premier soutien-gorge.
Schon wieder eine kuputte Strumpfhose.;Encore un collant fichu.
Yannik ist sher stolz auf seine neuen Turnschuhe.;Yannik est très fier de ses nouveaux tennis.
Plizisten tragen schwarze Stiefel.;Les gendarmes portent des bottes noires.
Im SOommer trägt Emma Sandalen aus Leinen.;L'été, Emma porte des sandales de toile.
Im Sommer sind Flipflops meine Lieblingsschuhe.;En été, les tongs sont mes chassuussures préférées.
Obwohl sie jung ist, trägt sie immer altmodische Sachen.;M�ême jeune, elle porte toujours des vêtements démodés.
Sie trägt immer sehr modische Jeans.;Elle porte toujours des jeans très à la mode.
In dieser Saison sind T-shirts mit langen �Ärmeln in Mode.;Cette saison, les tee-shirts à manches longues longues sont à la mode.
Ich bekomme den schmutzigen Kragen an deinem Hemd nicht sauber.;Je n'arrive pas à nettoyer le col sale de ta chemise.
Im Sommer trage ich nur Hemden mit kurzen Ärmeln.;En été, je ne mets que des chemises �à manches courtes.
An deinem Jackett fehlt ein Knopf.;Il manque un bouton à ta veste.
Die meisten Hosen haben einen Reissverschluss.;La plupart des pantalons sont à fermeture éclair.
Du hast aber ein hübsches Muster für dein Kleid ausgesucht.;Quel joli motif tu as choisi pour ta robe.
Ic glaube, dass der einfarbige Stoff des Hemds bersser zu deiner gestreiften Hose passt.;Je crois que le tissu uni de la chemise ira mieux avec ton pantalon rayé.
Ich mag deinen gestreiften Pulli.;J'aime bien ton pull rayé.
Mein Kollege trägt eine rot-grün karierte Krawatte.;Mon coll�ègue porte une cravate à carreaux rouges et verts.
Meine Chefin ist immer einfach, aber geschmackvoll gekleidet.;Ma patronne est toujours habillée d'une facon simple, mais avec goût.
Es ist mir wirklich peinlich, mich ganz nackt auszuziehen.;Ca me gêne vraiment de me mettre tout nu.
Nimm die Hände aus den Taschen.;Sors les mains de tes poches.
Dieses Jahr verbringe ich die Ferien mit meiner Familie.;Cette année, je passe les vacances en famille.
Das ist ein nettes kleins Hotel mit einer familiären Atmosphäre.;C'est un petit hôtel charmant, avec une ambiance familiale.
Wie jedes Jahr gibt es Weihnachten wieder ein grosses Familientreffen.;Comme tous les ans pour Noël, il y aura une grande réunion familiale.
Ich kenne nicht alle Mitglieder meiner Grossfamilie.;Je ne connais pas tous les membres de ma grande famille.
Ich wohne noch bei meinen Eltern.;J'habite envore chez mes parents.
Meine Mutter lebt nicht mehr mit meinem Vater zusammen.;Ma mère ne vit plus avec mon père.
Bei uns zu Hause kocht Papa.;à la maison, c'est papa qui fait la cuisine.
Meine Mutter ist Lehrerin für Französisch und Geschichte.;Ma mère est professeur de francais et d'histoire.
Meine Mama hat mir dieses kleine Geschenk für Sie mitgegeben.;Maman m'a donné ce petit cadeau pour vous.
